,WV,FL,IL,MN,MD,RI,ID,NH,NC,VT,CT,DE,NM,CA,NJ,WI,OR,NE,PA,WA,LA,GA,AL,UT,OH,TX,CO,SC,OK,TN,WY,HI,ND,KY,ME,NY,NV,AK,MI,AR,MS,MO,MT,KS,IN,SD,MA,VA,DC,IA,AZ
2009-02-01,-1.3439385628085665,-6.710006082725062,-3.6725146198830494,-3.003349058302429,-2.681875405333234,-4.223627831054899,-5.366151964531419,-2.4059222702035865,-4.654453023835781,-2.748140963465895,-3.1457146179788342,-3.9891205802357166,-2.9456816307293465,-4.626074118203183,-3.6438832195384574,-3.160231727200191,-5.438657008163739,-1.1844680193634827,-2.1835187318398286,-3.0240595507111556,-0.4691930910028286,-4.972111172288329,-4.678564385722739,-3.919701658335306,-4.366916960315848,-1.2332671702585896,-3.0540827147401917,-5.493830321028104,-1.5174881253469774,-4.946695095948817,-1.043419723998662,-4.362362681101728,0.382827454197443,-4.439428141459745,-2.99565147366726,-1.8416981389634546,-7.927255770575892,0.3429996881820996,-6.676740013221272,-2.3811492352211583,-4.045794955668414,-2.820449143222048,-3.351206434316356,-1.484828921885073,-4.9974928965402015,-1.0204081632653184,-2.502328096368178,-2.5845455265450568,0.7446656164972199,-1.8524579433134791,-6.762977656349422
2009-03-01,-1.4043783560512058,-7.003777232318864,-4.215245136577284,-3.548782245280302,-2.962085308056872,-4.680155323932156,-6.0962566844919746,-2.931646350871775,-5.333941737313563,-3.07742144476838,-3.8235806845255516,-4.4721906923950066,-3.722902921771898,-5.102682653213408,-4.174010967489227,-3.692254254949645,-6.2873907040957295,-1.5240448975388787,-2.695399232344786,-3.722290538070394,-0.9390155814673395,-5.335285364565834,-5.030887076847046,-4.478323010957608,-4.469139008960554,-1.7051125129460498,-3.666765691974705,-5.982248217125852,-2.024191557640098,-5.52153791384834,-1.7490750084090068,-4.6511627906976605,-0.0818107444777727,-4.65944022002911,-3.5115979381443174,-2.220730611269739,-8.811842617841837,0.18726591760300781,-6.890011143514241,-2.7340513670256805,-4.556830931216016,-3.133447147531654,-4.2633928571428665,-2.3488971641363654,-5.302191348702978,-1.4820213799805693,-2.9792473796438013,-2.936744997488827,-0.07136739937196879,-2.377210216110015,-7.075719978945793
2009-04-01,-2.010742321994219,-6.882026068474556,-5.0165601686126156,-3.8127936393205664,-3.277060575968216,-5.060438434746983,-6.741057780495263,-3.364197530864188,-5.727699530516439,-3.879728419010664,-4.650486001978926,-5.2404718693285,-4.241781548250268,-5.747983021741243,-4.4643514541661595,-4.348582362149944,-6.776830953477663,-2.040185471406486,-3.419845754822304,-4.429516810215817,-1.7265371334329704,-5.622113163972298,-5.4746507380164955,-5.359269551409285,-5.411864972023562,-2.545604839467208,-4.5520047469695735,-6.17824229006848,-2.77160493827161,-6.074766355140193,-2.789915966386558,-4.9345257106355955,-0.7912687585265976,-5.028324790936067,-3.5593493316154023,-3.1580381780811018,-9.825327510917026,0.03121098626717167,-6.779539763920361,-2.9128630705394065,-5.072026222720605,-3.7418712909988883,-3.7668161434977643,-3.374803374803359,-6.167578269185592,-2.240077915753591,-3.410080148890837,-3.54860854411998,-0.9689370190937519,-2.8885832187070193,-7.725953018362808
2009-05-01,-3.3283521260698223,-6.785305576628831,-5.199631706704622,-3.9666197030454042,-3.0470065839840688,-4.844006568144488,-7.001987463690574,-3.0728844966028346,-5.801957286795556,-3.525226390685632,-4.424366074030905,-4.494638375541859,-4.176498348277491,-5.8703953862939695,-4.1646167470235085,-4.4923504867872,-6.725163077988805,-2.06100577081616,-3.504552482391343,-4.474682280923547,-1.7468824075028255,-5.764966740576494,-5.561327989708564,-5.346487389609356,-5.772832637923042,-2.821396056052472,-4.6812116077102335,-6.4401544401544335,-3.0325489469458233,-6.249553858234003,-2.8791429527954326,-5.177372962607862,0.08176614881438837,-5.2015955153083215,-3.4821860390133685,-3.043176990446761,-10.18127832473824,-0.6201550387596955,-7.390245067596634,-3.348010301570159,-4.987897648686035,-3.9509682003908253,-3.8108047522976918,-3.4519802334741834,-6.440143561533562,-1.6780155642023287,-3.4199849737039822,-3.3569465003171928,-0.8956497014500964,-3.0695726160089087,-7.832463899599318
2009-06-01,-1.7215259606114808,-6.701277233220981,-5.455093934874055,-4.407723459647094,-2.9085606845477785,-4.833401892225419,-6.676875957120987,-3.519604816301325,-5.971843230059648,-3.607409814754625,-4.782456549632563,-4.939400868968679,-4.469866729567162,-6.159059717316784,-4.311512971494736,-4.837138084632519,-6.820548420687256,-2.157530711262523,-3.6405846947549447,-4.814666932854205,-2.158236324302054,-5.874824938426615,-5.727462064861644,-5.604203152364285,-6.152360076532981,-3.1685285758505266,-5.0262979300984,-6.530949674485898,-3.0938679537157343,-6.518937495525168,-4.14854466376714,-4.728321846449757,0.05449591280652921,-5.183223435304296,-4.107603092783507,-3.225549990346066,-10.271500313873204,-0.744186046511619,-8.502323364708687,-3.6434558884554824,-4.866834388826247,-4.133053768790651,-3.485495839892061,-3.8615847542627812,-6.740138431557019,-1.9235451667884096,-3.664952947896938,-3.465961665565098,-0.9078014184397132,-3.277399056109076,-7.94583933854206
2009-07-01,-2.6641032683328847,-6.569418849118803,-5.727943643072797,-4.4502333658960165,-3.3682433728468797,-4.98655079660667,-7.332006735037499,-4.077849860982385,-6.052536012589272,-3.9049788480312375,-4.9397167271450275,-5.109990834097145,-4.501417769376181,-6.6769204700239175,-4.339659944642149,-5.200863329388017,-6.735391208663922,-1.9109596116103744,-3.795442026989815,-5.339628287395682,-2.170438727638302,-5.9413860810123005,-5.742505459598968,-5.991554457812109,-6.498100841587851,-3.6225029734868075,-5.297113752122251,-6.055876385203673,-3.52556186712768,-6.393595634692706,-4.844637487470759,-4.817141936523295,-0.6233062330623373,-5.010845986984824,-4.087237479806127,-2.9300288236762784,-10.329601009304524,-0.7735148514851464,-7.9187695265561135,-3.580031564083408,-4.30906389301634,-3.942857142857148,-3.929052537045352,-3.8914417001723156,-6.914428061671041,-1.7535314174379035,-3.9936246353712512,-3.7216314870655354,-0.5640953321111253,-3.649109014675056,-7.678217066096793
2009-08-01,-2.476609796367635,-6.461285738497846,-5.804456693442683,-4.656552123691926,-3.291849120381052,-4.9098819142324395,-7.075834487001997,-4.032133477522004,-6.076624636275463,-3.1963470319634757,-4.980079681274896,-5.0975889781859856,-4.5685279187817285,-6.645611006486707,-4.090638635462119,-5.30738919691739,-6.820822681849881,-2.291494632535085,-3.830982033658903,-5.556294031636311,-2.4764938601448905,-6.009188808128929,-5.850746268656715,-6.10863332271423,-6.501940877873991,-3.8520252868180727,-5.507898759979623,-6.033269020180432,-3.887449092928541,-6.358568602769288,-5.2139037433154956,-5.164923572003222,-0.43466449334420565,-4.960920538428137,-3.9234760051880535,-2.998522895125555,-10.207639879537167,-0.6817477533312633,-7.799643939758461,-3.6227669297881127,-4.687090861482068,-4.056512897356324,-3.8245219347581516,-3.707176343310503,-6.292975596602412,-2.452051468803096,-3.883904377672065,-3.666349004659042,-1.0930493273542674,-3.5257880595058744,-7.925105082155149
2009-09-01,-3.120703876821551,-6.2800225127943365,-5.613827993254628,-5.052043665905059,-3.216363006047529,-4.62751608217472,-6.901343214451138,-3.8924930491195497,-6.042142059523226,-3.7495924356048205,-4.653349001175089,-4.883667357751675,-4.883803232275574,-6.781204746646741,-4.02236024844721,-5.494237665819424,-6.727971132580612,-2.4571546562048407,-3.819372630127549,-5.371074214842963,-1.5978418759078572,-5.910632794006387,-5.870324189526189,-5.868263473053892,-6.069737408523446,-3.68662729005661,-5.412535636781401,-6.3220489280684244,-4.237601776461886,-6.099674972914415,-5.299999999999994,-4.615634649764344,-0.24403470715835818,-4.339756536928874,-3.3024239466406535,-3.25939596933138,-9.874970136179028,-0.7120743034055743,-7.2284789018319024,-3.783154568886671,-4.595990545390882,-4.21665238503286,-3.7638043723236425,-4.372801033962814,-6.242809771942881,-2.236266407389398,-3.6650478115290652,-3.7503646924647915,-1.4685117198531605,-3.5388950783144413,-7.890795991245247
2009-10-01,-3.2156108286381824,-5.730231821720255,-5.439309294057903,-4.451631659277567,-2.9808100698868745,-4.110160650949302,-5.509598876229138,-3.53762606671838,-5.848839768198156,-3.3344230140568754,-4.639236029238392,-4.396112910689498,-4.902309058614563,-5.907960609198659,-3.8332917394559463,-5.049480714760279,-6.318874560375143,-2.6600680482523953,-3.4440408233869624,-4.387562390395249,-2.8740359897172274,-5.47060989078415,-5.59955885301785,-5.464480874316935,-5.709020478008231,-3.803990764552412,-5.187590804204756,-5.8184679958027345,-4.436206363917206,-5.51015219207438,-6.216755319148937,-4.022236756049713,-0.27114967462038564,-3.9736914223074793,-3.464541314248526,-3.1440000000000023,-9.308510638297873,-0.24837007140640077,-6.537330124231156,-3.704939919893202,-4.74016853932584,-4.236043971783565,-3.3913633280578837,-4.618921054521941,-5.722256242770641,-2.528567955263805,-3.560633538870761,-3.4866093986862023,-0.25553662691651935,-3.5672053606621956,-7.429633357853582
2009-11-01,-3.012379642365881,-5.136067967609181,-4.965648595333649,-4.062933489085207,-2.6978835568648885,-3.6703020134228215,-4.851157662624028,-3.4842121636335266,-5.320875338087038,-3.109656301145658,-4.352454169130682,-4.565469293163382,-4.591411918639232,-5.397025627406715,-3.31059390048154,-4.846634379167536,-5.62747532068334,-2.4793388429752095,-3.0113054200024414,-4.8091808575082435,-2.904436333727445,-4.964696588159779,-4.754926730672048,-5.0004039098473285,-5.185073045189615,-3.7161940011084527,-4.907133359070048,-5.381733762465046,-4.2821782178217855,-4.808886939998535,-5.899999999999994,-4.803777886337734,-0.18954779312212455,-3.585372559802036,-3.0253475061324586,-2.809587674954439,-8.373381119165913,-0.4656938838869862,-6.073359923654776,-3.149606299212593,-4.299938320556896,-3.863031436587283,-3.17100792751982,-4.362222862078902,-4.909613804437141,-2.1691445283938626,-3.152018930315814,-3.131089341483606,0.08531210009954382,-3.2449544914918915,-6.849208206568392
